VIT Branch,Subject Branch,CGPA,Placement got
Chennai,B.Tech Computer Science & Engineering,6.09,No
AP,B.Tech CSE (Cloud Computing & Automation),7.94,No
Chennai,B.Tech Computer Science & Engineering,9.94,No
Chennai,B.Tech Computer Science & Engineering,9.75,Yes
Chennai,B.Tech Computer Science & Engineering,6.71,No
Chennai,B.Tech CSE (AI & ML),6.97,No
Chennai,B.Tech Computer Science & Engineering,7.93,No
Bhopal,B.Tech Computer Science & Engineering,6.57,No
Bhopal,B.Tech Computer Science & Engineering,9.27,Yes
Vellore,B.Tech CSE (E-Commerce Technology),7.65,No
AP,M.Tech VLSI Design,8.68,Yes
Chennai,B.Tech CSE (Education Technology),6.2,No
Chennai,B.Tech CSE (Education Technology),9.08,Yes
Bhopal,B.Tech Computer Science & Engineering,7.05,No
Vellore,B.Tech Electronics & Communication Engineering,6.89,No
Vellore,B.Tech Computer Science & Engineering,8.6,Yes
Vellore,B.Tech Computer Science & Engineering,8.48,No
AP,B.Tech Computer Science & Engineering,6.87,No
AP,B.Tech Computer Science & Engineering,9.43,Yes
Bhopal,B.Tech CSE (Health Informatics),8.83,Yes
Bhopal,B.Tech CSE (E-Commerce Technology),7.18,No
AP,B.Tech Computer Science & Engineering,9.84,No
Chennai,B.Tech Computer Science & Engineering,9.65,Yes
AP,B.Tech Computer Science & Engineering,5.8,No
Vellore,B.Tech Computer Science & Engineering,8.63,Yes
Chennai,B.Tech Computer Science & Engineering,7.99,No
Vellore,M.Tech CSE (Cyber Security),5.72,No
Bhopal,B.Tech Computer Science & Engineering,5.31,No
Chennai,B.Tech Computer Science & Engineering,6.78,No
Vellore,B.Tech Computer Science & Engineering,8.56,Yes
Vellore,B.Tech Mechanical Eng (AI & Robotics),6.83,No
AP,M.Tech CSE (Cyber Security),6.19,No
Chennai,B.Tech CSE (AI & ML),6.67,No
Chennai,B.Tech Mechanical Engineering,7.66,No
Vellore,B.Tech Computer Science & Engineering,7.83,No
Chennai,B.Tech Electronics & Communication Engineering,6.27,No
Chennai,B.Tech Computer Science & Engineering,6.67,No
Chennai,B.Tech Electronics & Communication Engineering,7.86,No
Bhopal,B.Tech CSE (Health Informatics),6.67,No
AP,B.Tech Computer Science & Engineering,8.68,Yes
Vellore,B.Tech Computer Science & Engineering,6.4,No
Chennai,B.Tech Computer Science & Engineering,7.89,No
AP,B.Tech Computer Science & Engineering,8.42,No
Vellore,B.Tech CSE (Education Technology),8.94,No
AP,B.Tech Computer Science & Engineering,9.31,Yes
AP,B.Tech Computer Science & Engineering,8.43,Yes
Vellore,B.Tech Computer Science & Engineering,7.05,No
Vellore,B.Tech Computer Science & Engineering,5.38,No
Vellore,B.Tech CSE (Cloud Computing & Automation),7.89,No
Vellore,B.Tech Mechanical Eng (AI & Robotics),6.66,No
Chennai,B.Tech ECE (AI & Cybernetics),5.59,No
Chennai,B.Tech Mechanical Eng (AI & Robotics),5.59,No
Bhopal,B.Tech ECE (AI & Cybernetics),9.24,No
Vellore,M.Tech CSE (Cyber Security),6.5,No
Vellore,B.Tech CSE (Health Informatics),8.82,No
Vellore,B.Tech CSE (AI & ML),9.08,No
Chennai,B.Tech Computer Science & Engineering,7.49,No
Vellore,M.Tech VLSI Design,6.7,No
Chennai,B.Tech Electronics & Communication Engineering,5.38,No
Vellore,M.Tech CSE (Cyber Security),9.5,Yes
Vellore,B.Tech Computer Science & Engineering,6.62,No
Vellore,B.Tech Computer Science & Engineering,6.07,No
Chennai,B.Tech CSE (Health Informatics),7.25,No
Vellore,B.Tech Computer Science & Engineering,5.86,No
Vellore,B.Tech Computer Science & Engineering,6.87,No
Vellore,B.Tech Computer Science & Engineering,8.45,Yes
AP,B.Tech Computer Science & Engineering,7.57,No
Vellore,B.Tech CSE (Education Technology),8.91,Yes
AP,B.Tech Computer Science & Engineering,8.88,Yes
Vellore,B.Tech ECE (AI & Cybernetics),8.22,Yes
